t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
0.884,rrt,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.083,rrt,7.7107,-0.7773,0.1370,0.0000,0.3500,0.4200,0
1.203,rrt,7.7107,-0.7773,0.1370,0.0000,0.3500,0.4200,0
1.349,rrt,7.7134,-0.7767,0.1381,0.0882,0.6806,0.2567,0
1.439,rrt,7.7205,-0.7745,0.1449,0.1515,0.3500,0.4200,0
1.638,rrt,7.7287,-0.7713,0.1563,0.1924,0.3500,0.4200,0
1.720,rrt,7.7562,-0.7611,0.1871,0.3163,0.3500,0.4200,0
1.814,rrt,7.7622,-0.7586,0.1949,0.3162,0.5613,-0.3156,0
1.902,rrt,7.7651,-0.7573,0.1992,0.3167,0.8340,-0.1809,0
2.000,rrt,7.7830,-0.7490,0.2246,0.3233,0.3500,0.4200,0
2.096,rrt,7.8015,-0.7400,0.2502,0.3594,0.7728,0.2111,0
2.263,rrt,7.8125,-0.7353,0.2605,0.4256,0.6278,-0.2827,0
2.324,rrt,7.8440,-0.7240,0.2751,0.4583,0.7533,0.2207,0
2.426,rrt,7.8482,-0.7224,0.2772,0.4370,1.1125,-0.0432,0
2.460,rrt,7.8734,-0.7118,0.2951,0.4941,0.3532,-0.4184,0
2.487,rrt,7.8827,-0.7078,0.3017,0.5199,1.1171,-0.0409,0
2.559,rrt,7.9026,-0.6989,0.3159,0.5564,0.3500,0.4200,0
2.619,rrt,7.9290,-0.6867,0.3351,0.5981,0.8807,-0.1578,0
2.670,rrt,7.9675,-0.6700,0.3491,0.6247,0.6817,0.2561,0
2.729,rrt,8.0280,-0.6481,0.3488,0.5649,0.8098,0.1928,0
2.763,rrt,8.0280,-0.6481,0.3488,0.5649,0.3500,-0.4200,0
2.860,rrt,8.0607,-0.6358,0.3517,0.6056,0.3500,0.4200,0
2.925,rrt,8.0663,-0.6334,0.3542,0.6147,0.4305,-0.3802,0
3.023,rrt,8.0717,-0.6309,0.3571,0.5641,0.7799,-0.2076,0
3.148,rrt,8.1015,-0.6183,0.3644,0.3983,0.7196,0.2374,0
3.258,rrt,8.1293,-0.6052,0.3770,0.3877,0.3500,0.4200,0
3.406,rrt,8.1495,-0.5977,0.3744,0.4721,0.5702,-0.3112,0
3.476,rrt,8.1737,-0.5904,0.3633,0.5300,0.3500,0.4200,0
3.551,rrt,8.2095,-0.5763,0.3666,0.4049,0.3500,0.4200,0
3.603,rrt,8.2233,-0.5690,0.3774,0.3865,0.5821,0.3053,0
3.635,rrt,8.2519,-0.5543,0.3940,0.3783,1.0514,-0.0734,0
3.689,rrt,8.2674,-0.5444,0.4119,0.3537,1.1817,-0.0091,0
3.736,rrt,8.2794,-0.5357,0.4296,0.3842,0.3500,0.4200,0
3.785,rrt,8.3075,-0.5183,0.4508,0.5686,0.6792,0.2573,0
3.853,rrt,8.3354,-0.5037,0.4548,0.6158,0.3500,0.4200,0
3.889,rrt,8.3582,-0.4915,0.4607,0.4734,0.9911,-0.1032,0
3.949,rrt,8.3747,-0.4806,0.4741,0.5070,0.3500,-0.4200,0
4.018,rrt,8.3831,-0.4748,0.4819,0.4822,1.0817,0.0584,0
4.104,rrt,8.4059,-0.4573,0.5088,0.5329,1.0841,0.0573,0
4.168,rrt,8.4374,-0.4367,0.5220,0.3977,0.6043,0.2944,0
4.276,rrt,8.4577,-0.4244,0.5248,0.5453,0.3500,0.4200,0
4.332,rrt,8.4892,-0.4049,0.5307,0.6816,0.4097,0.3905,0
4.384,rrt,8.5111,-0.3904,0.5398,0.6357,0.3500,0.4200,0
4.450,rrt,8.5496,-0.3572,0.5891,0.4362,0.3500,0.4200,0
4.519,rrt,8.5672,-0.3386,0.6199,0.4011,0.5802,0.3062,0
4.582,rrt,8.5750,-0.3297,0.6351,0.3735,0.3500,-0.4200,0
4.663,rrt,8.5869,-0.3156,0.6590,0.3536,0.3500,-0.4200,0
4.758,rrt,8.6045,-0.2953,0.6874,0.4106,0.4213,0.3848,0
